"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PCED1B",2.45430476540292e-08,0.547081886069461,0.72,0.48,0.000898300087185124
"SYK",2.74450947519394e-08,-0.497721590575551,0.832,0.867,0.00100451791301573
"NDFIP1",2.79558869785106e-08,0.577961533245214,0.77,0.587,0.00102321341930047
"RNF125",2.95858572855152e-08,0.568833992796176,0.461,0.227,0.00108287196250714
"AC139720.1",3.10057833411296e-08,0.734514153503588,0.305,0.087,0.00113484267606868
"PRKCE",4.0613848100188e-08,-0.615535959578403,0.721,0.807,0.00148650745431498
"TRERF1",4.15919650739183e-08,0.557500187412251,0.653,0.4,0.00152230751367048
"CHD7",4.40157139590142e-08,-0.461345554139926,0.267,0.5,0.00161101914661388
"TRABD2A",4.42532774000145e-08,0.473025851720619,0.381,0.133,0.00161971420611793
"CCDC88C",4.63568626374025e-08,0.468289676443902,0.816,0.633,0.00169670752939157
"ZAP70",5.58880872208257e-08,0.392262153846915,0.316,0.093,0.00204555988036944
"ITPKB",6.47490887130997e-08,0.544904114731741,0.578,0.353,0.00236988139598816
"RBL2",6.8788473118955e-08,0.540505531361023,0.705,0.513,0.00251772690462687
"GIMAP7",1.05571736881182e-07,0.429476539155353,0.663,0.447,0.00386403114158814
"SAMD3",1.11371691981614e-07,0.544138413748015,0.337,0.113,0.00407631529821906
"ST6GAL1",1.22653879407832e-07,-0.530208785225768,0.754,0.827,0.00448925464020604
"TBC1D22A",1.33467451713458e-07,-0.372435516267905,0.914,0.92,0.00488504220016427
"ARHGEF1",1.56104178684146e-07,0.438366650173033,0.702,0.5,0.00571356904401844
"LAT",1.63593091673606e-07,0.417750506982763,0.352,0.133,0.00598767074834566
"IGLC2",2.08455811774446e-07,-0.99099603762329,0.164,0.327,0.00762969116675649
"ARL4C",2.31724092156325e-07,0.471285252365651,0.456,0.227,0.00848133349701364
"STK10",2.38146443845886e-07,0.40187969622951,0.927,0.84,0.00871639799120327
"SEPTIN9",2.66122390503599e-07,0.4761713743669,0.756,0.547,0.00974034561482223
"CAMK2D",2.67296263942243e-07,-0.469275547098316,0.813,0.887,0.00978331055655004
"RNF144A",2.71348827743116e-07,0.486259548136811,0.298,0.1,0.00993163844422579
"PLEKHA2",3.12013289008039e-07,-0.577214668658434,0.467,0.633,0.0114199983909832
"FYN",3.14571655466441e-07,0.436902187527018,0.925,0.82,0.0115136371617272
"LEPROTL1",3.21038334433542e-07,0.367740822991144,0.577,0.38,0.0117503240786021
"CTSW",3.29355343906578e-07,0.521985911080346,0.27,0.073,0.0120547349423247
"PTPN4",4.04484830253485e-07,0.470655582338277,0.607,0.413,0.0148045492721078
"SLA",4.1269792043292e-07,0.499485646699788,0.617,0.413,0.0151051565857653
"DGKA",4.14445510427783e-07,0.492203034503993,0.386,0.18,0.0151691201271673
"GGA2",4.25786031429676e-07,-0.487488323367965,0.305,0.5,0.0155841945363576
"IL6ST",4.42289820057742e-07,0.419719889093651,0.653,0.433,0.0161882497039334
"AC010609.1",4.45904121797121e-07,0.381368599308817,0.313,0.107,0.0163205367618964
"MLLT3",4.77033898622154e-07,0.626272190002492,0.607,0.387,0.0174599177234694
"TRBC2",5.05533331235538e-07,0.490476125238321,0.55,0.333,0.0185030254565519
"BIRC3",5.46762758370219e-07,-0.463157208522051,0.249,0.453,0.0200120637191084
"HLA-DMB",5.81601924046839e-07,-0.441172683058327,0.381,0.58,0.0212872120220384
"INPP4A",5.85367880027512e-07,0.472970937015689,0.765,0.62,0.021425049776887
"CPED1",6.27213305346895e-07,-0.475200107439839,0.267,0.453,0.0229566341890017
"EVL",6.98513450657693e-07,0.447204247512489,0.822,0.66,0.0255662908075222
"RORA-AS1",7.05414629764036e-07,0.460371381375867,0.399,0.18,0.0258188808639935
"NUCB2",7.17987568175726e-07,0.488064785664659,0.313,0.113,0.0262790629827997
"SKAP1",7.22347183131027e-07,0.397808562005144,0.899,0.707,0.0264386292497787
"KLF12",7.93991255529089e-07,0.440066042820576,0.814,0.633,0.0290608739436202
"AC009313.1",8.75541774930363e-07,-0.331294189194935,0.112,0.273,0.0320457045042262
